brand,model,variant,year,fuel_type,transmission,km_driven,engine_cc,mileage,ownership,location,seats,condition,insurance_valid,price
MG,Hector,Style,2024,Diesel,Manual,17600,2006,14.6,1st Owner,Chandigarh,5,Poor,True,835000
Honda,Amaze,VX,2022,Petrol,Manual,62585,1149,18.4,3rd Owner,Kochi,5,Excellent,True,355000
Mahindra,Scorpio-N,Z4,2016,Diesel,Manual,77414,2184,13.3,3rd Owner,Chandigarh,7,Fair,True,350000
Skoda,Slavia,Ambition,2014,Petrol,Automatic,106939,1448,19.0,3rd Owner,Delhi,5,Good,True,350000
Volkswagen,Polo,Highline,2015,Petrol,Automatic,104126,1049,19.5,1st Owner,Chandigarh,5,Good,True,155000
Kia,Sonet,HTK,2023,Diesel,Manual,25781,1197,18.1,1st Owner,Hyderabad,5,Fair,True,510000
Kia,Carens,Luxury Plus,2015,Diesel,Manual,115270,1497,17.2,4+ Owners,Chandigarh,7,Poor,False,350000
Tata,Altroz,XZ,2014,Petrol,Manual,100669,1249,19.1,1st Owner,Ahmedabad,5,Poor,False,120000
Skoda,Slavia,Style,2024,Petrol,Automatic,20973,1498,18.3,4+ Owners,Mumbai,5,Fair,True,600000
Hyundai,Alcazar,Platinum,2023,Petrol,Manual,35024,1543,19.5,1st Owner,Chandigarh,7,Fair,False,900000
Mahindra,Scorpio-N,Z4,2013,Petrol,Manual,100201,2184,15.4,2nd Owner,Bengaluru,7,Poor,True,350000
Audi,Q3,40 TFSI,2016,Petrol,Automatic,127488,1984,17.0,4+ Owners,Delhi,5,Good,True,730000
Maruti Suzuki,Ciaz,Delta,2022,Petrol,Manual,25616,1412,18.7,1st Owner,Lucknow,5,Fair,True,495000
Toyota,Camry,2.5 Hybrid,2021,Hybrid,Automatic,53654,2487,20.0,2nd Owner,Delhi,5,Excellent,False,2195000
Kia,Sonet,HTE,2023,Petrol,Manual,39347,1147,17.6,2nd Owner,Jaipur,5,Poor,True,360000
Toyota,Camry,2.5 Hybrid,2014,Hybrid,Automatic,86792,2487,20.1,1st Owner,Kochi,5,Good,True,975000
Volkswagen,Virtus,GT Plus,2013,Petrol,Automatic,80851,1498,19.9,4+ Owners,Chennai,5,Poor,False,350000
Toyota,Innova Crysta,GX,2022,Diesel,Automatic,24565,2393,15.4,2nd Owner,Mumbai,7,Excellent,True,1190000
Hyundai,Alcazar,Prestige,2019,Petrol,Manual,43900,1493,18.6,3rd Owner,Chennai,7,Good,False,485000
Kia,Seltos,HTX,2020,Diesel,Manual,40420,1547,18.5,1st Owner,Delhi,5,Good,False,520000
Mahindra,Thar,AX(O),2018,Diesel,Manual,110332,2184,15.8,1st Owner,Vadodara,4,Fair,True,410000
Tata,Harrier,Smart,2014,Diesel,Automatic,126842,2006,16.3,3rd Owner,Jaipur,5,Poor,False,350000
Audi,A4,40 TFSI Premium,2023,Petrol,Automatic,16224,1984,18.2,3rd Owner,Bengaluru,5,Poor,False,1865000
Hyundai,Creta,EX,2021,Petrol,Automatic,45171,1447,15.4,3rd Owner,Kochi,5,Excellent,False,505000
Honda,City,VX,2021,Hybrid,Manual,48052,1448,18.9,1st Owner,Bengaluru,5,Fair,False,565000
Audi,Q3,35 TDI Quattro,2017,Petrol,Automatic,107037,1984,15.0,4+ Owners,Pune,5,Fair,True,765000
MG,Hector,Sharp Pro,2018,Diesel,Manual,86337,2006,15.8,3rd Owner,Mumbai,5,Excellent,False,390000
Toyota,Fortuner,2.7 4x2,2022,Diesel,Automatic,47705,2755,14.5,1st Owner,Ahmedabad,7,Good,False,2000000
Kia,Seltos,X-Line,2021,Petrol,Automatic,62476,1547,18.3,3rd Owner,Vadodara,5,Excellent,False,530000
MG,Astor,Smart,2019,Petrol,Manual,66889,1548,16.1,2nd Owner,Chandigarh,5,Fair,False,350000
Maruti Suzuki,Ertiga,ZXi,2016,CNG,Automatic,139418,1462,21.0,4+ Owners,Kochi,7,Good,True,165000
MG,Astor,Style,2016,Petrol,Manual,91034,1448,13.4,4+ Owners,Chandigarh,5,Excellent,False,350000
MG,Hector,Sharp Pro,2020,Diesel,Manual,46592,1906,16.6,2nd Owner,Bengaluru,5,Poor,True,450000
